stock_code,marcap
005930,2060813209320000.0
001460,225173707500.0
005380,143330436200000.0
000120,1886580848800.0
097950,3018364293000.0
001040,5135151648000.0
035760,862912209900.0
282330,2226167092800.0
051500,285511643300.0
000660,1630663011120000.0
035420,41885298192000.0
035720,18506836726600.0
036570,6226222358000.0
018260,20892006000000.0
068270,39129370414200.0
005490,31795662708750.0
051910,24636727707000.0
096770,19796081474800.0
011170,3451976313300.0
010130,27447954235000.0
010950,12856954846400.0
086790,33006440084400.0
055550,47607832408300.0
105560,60998334438000.0
316140,22315920128000.0
138930,5359347859910.0
024110,16347230314500.0
000640,574957805800.0
001740,2657869029250.0
002790,1693548687000.0
003670,19746060840000.0
006400,48512489060000.0
007070,1952233140250.0
011210,2205521231300.0
014790,102407515705.0
030200,13810788338000.0
042670,
057050,938400000000.0
064350,21239090217800.0
000070,430080781400.0
000100,6387737600200.0
000150,29067933825000.0
000210,1066654495600.0
000270,64105814271600.0
000320,229804000790.0
000370,713274770650.0
000720,15322553264000.0
001120,1505826000000.0
001230,275870686410.0
001430,1832554280900.0
001440,8339484959800.0
001450,2979426337500.0
001630,213420078600.0
001680,644799745250.0
001800,1672632767400.0
002030,344857710000.0
002320,256367536320.0
000080,1153697900950.0
000140,186582390600.0
000230,84360324000.0
000390,181447138230.0
000400,588707999040.0
000430,289230000000.0
000490,232921069200.0
000540,223885617825.0
000680,245077379760.0
000700,136459094880.0
000810,32414065398000.0
000860,160940000000.0
000880,9144877094300.0
001060,608927069500.0
001250,247601292000.0
001500,586795587560.0
001510,736674845725.0
001720,3082500000000.0
000240,2435088906000.0
000500,5591572870000.0
000670,935262696400.0
002350,662188206060.0
002600,84000000000.0
003240,1017647600000.0
003280,468588128151.0
003920,273600000000.0
004370,2366147738000.0
004540,64128473346.0
005090,692368450650.0
005290,3017431459200.0
005500,257076000000.0
005610,355946621250.0
005850,3288555216000.0
005950,317633561520.0
000020,151109252700.0
000050,226175977500.0
000220,62934536945.0
000480,219447493200.0
000520,159434810850.0
000590,82430014800.0
000850,72270000000.0
000910,50347471275.0
000990,7709012993600.0
001020,80982406050.0
001070,30528000000.0
001130,198068000000.0
001200,452850504150.0
001270,635674011800.0
001290,105628692000.0
001390,300531644100.0
001520,145835962493.0
001560,71820000000.0
000040,28762936272.0
000180,74215702400.0
000250,7224901376000.0
000650,312999180000.0
000760,36540000000.0
000890,35994104575.0
000950,45528000000.0
000970,149571280000.0
001080,197747500000.0
001140,
001210,33724645235.0
001260,75415827240.0
001340,268940023040.0
001360,133521828022.0
001380,33498285790.0
001420,16302000000.0
001470,79699592928.0
001530,483709750350.0
